Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,rsi,ema,macd,return,vol_change,bb_width,Target
2018-02-07,10476.7001953125,10614.0,10446.400390625,10607.2001953125,250400,32.38791272483684,10781.194508793786,21.65921609525867,-0.0020527044686019513,-0.06041275797373358,7.417719821985642,1
2018-02-08,10576.849609375,10637.7998046875,10479.5498046875,10518.5,232200,40.14334563569419,10753.948522204615,4.280237122418839,0.009559251691416026,-0.07268370607028751,7.536174343035608,0
2018-02-09,10454.9501953125,10480.2001953125,10398.2001953125,10416.5,191600,34.89646666329655,10714.082078619,-19.10871945812687,-0.011525115565078292,-0.17484926787252364,8.018678639479567,1
2018-02-12,10539.75,10555.5,10485.400390625,10518.2001953125,217400,40.70277103091668,10690.8378014698,-30.45098057085488,0.008110971654893273,0.13465553235908145,8.27363719455024,0
2018-02-14,10500.900390625,10590.5498046875,10456.650390625,10585.75,229200,38.987256497998125,10665.51281335716,-42.089461899107846,-0.0036860086221209842,0.054277828886844626,8.652956998670655,0
2018-02-15,10545.5,10618.099609375,10511.0498046875,10537.900390625,210600,42.00901658290299,10649.51110490954,-47.170474591908715,0.004247217640005241,-0.08115183246073299,8.875546019931559,0
2018-02-16,10452.2998046875,10612.900390625,10434.0498046875,10596.2001953125,184300,37.79632685998524,10623.216264879935,-58.04854314149088,-0.00883791146104973,-0.12488129154795824,9.31826479189506,0
2018-02-19,10378.400390625,10489.349609375,10302.75,10488.900390625,187300,34.815109891722386,10590.57414831261,-71.80483451561668,-0.0070701582851038225,0.016277807921866616,9.880031179558523,0
2018-02-20,10360.400390625,10429.349609375,10347.650390625,10391.0,187700,34.109387172871806,10559.884313954262,-83.20016440115069,-0.001734371321447492,0.0021356113187400716,10.336857262096894,0
2018-02-21,10397.4501953125,10426.099609375,10349.599609375,10426.0,234100,36.942732920080175,10538.226431468694,-88.22443941444726,0.003576097765586983,0.2472029834842835,10.501450441079568,0
2018-02-22,10382.7001953125,10397.5498046875,10340.650390625,10354.349609375,313600,36.27398555554533,10517.489599981202,-92.33206867655099,-0.0014186170381128571,0.33959846219564294,10.313359915134647,1
2018-02-23,10491.0498046875,10499.099609375,10396.650390625,10408.099609375,210600,44.25662214219256,10513.964293942041,-85.85480574171561,0.010435590678416817,-0.32844387755102045,9.778669300851844,1
2018-02-26,10582.599609375,10592.9501953125,10520.2001953125,10526.5498046875,171900,49.96034792154739,10523.115669333101,-72.49850642178171,0.008726467454819975,-0.18376068376068377,9.070009107552544,0
2018-02-27,10554.2998046875,10631.650390625,10537.25,10615.2001953125,187500,48.3146325117783,10527.27355404702,-63.465509819448926,-0.0026741826897078713,0.09075043630017454,7.9236600899910155,0
2018-02-28,10492.849609375,10535.5,10461.5498046875,10488.9501953125,286000,44.859178551112265,10522.68369475742,-60.56713193862561,-0.005822290104475547,0.5253333333333334,6.868170423933235,0
2018-03-01,10458.349609375,10525.5,10447.150390625,10479.9501953125,176000,42.99977718212805,10514.105816706431,-60.35823608397732,-0.0032879533476946055,-0.3846153846153846,5.571464876868418,0
2018-03-05,10358.849609375,10428.7001953125,10323.900390625,10428.2998046875,194000,38.09540826794641,10493.404989062241,-67.44405003165957,-0.009513929416818057,0.10227272727272729,3.810040680570241,0
2018-03-06,10249.25,10441.349609375,10215.900390625,10420.5,222900,33.55546158907207,10460.850990520608,-80.9700092851781,-0.010580287725753812,0.14896907216494837,3.605847470114263,0
2018-03-07,10154.2001953125,10243.349609375,10141.5498046875,10232.9501953125,249500,30.194713648942496,10419.964217826195,-98.22685626189377,-0.00927383024977435,0.11933602512337371,4.080562900442308,1
2018-03-08,10242.650390625,10270.349609375,10146.400390625,10216.25,226400,36.56200100835189,10396.322374199368,-103.57192755762117,0.008710700361544088,-0.09258517034068137,4.389016444020698,0
2018-03-09,10226.849609375,10296.7001953125,10211.900390625,10271.2998046875,186500,35.93147125428878,10373.72600555612,-107.83981579435567,-0.001542645765246653,-0.1762367491166078,4.695941915441256,1
2018-03-12,10421.400390625,10433.650390625,10295.4501953125,10301.599609375,216400,47.85550500600253,10380.08259023197,-94.43493866308745,0.019023530088059015,0.1603217158176944,4.4922799989782565,0
2018-03-13,10426.849609375,10478.599609375,10377.849609375,10389.5,266700,48.14660459467103,10386.318192784374,-82.42166490026466,0.0005228873803659884,0.2324399260628467,4.479308402504172,0
2018-03-14,10410.900390625,10420.349609375,10336.2998046875,10393.0498046875,181400,47.31404927614539,10389.595819163125,-73.34257994477412,-0.001529629691374823,-0.3198350206224222,4.335831159844674,0
2018-03-15,10360.150390625,10420.0,10346.2001953125,10405.4501953125,173900,44.66726750284806,10385.669762024709,-69.44195691759705,-0.004874698450260895,-0.04134509371554573,4.266977098147313,0
2018-03-16,10195.150390625,10346.2998046875,10180.25,10345.150390625,328500,37.35137673421323,10360.267179171415,-78.75694506533364,-0.01592640973139836,0.8890166762507188,4.383942833845861,0
2018-03-19,10094.25,10224.5498046875,10075.2998046875,10215.349609375,210200,33.714805702418104,10324.79822194856,-93.20653166894044,-0.009896900659531527,-0.36012176560121767,4.949069992087819,0
2018-03-20,10124.349609375,10155.650390625,10049.099609375,10051.5498046875,203000,35.72518943495628,10298.071740272086,-101.0641417168481,0.002981856935879268,-0.03425309229305429,5.339298288545042,0
2018-03-21,10155.25,10227.2998046875,10132.9501953125,10181.9501953125,204800,37.81048393856168,10279.028841569141,-103.60367236872298,0.003052086486265315,0.008866995073891548,5.586940590431534,0
2018-03-22,10114.75,10207.849609375,10105.400390625,10167.5,230500,36.15483332654621,10257.124996026589,-107.6434337356477,-0.003988084980675044,0.12548828125,5.875012699900981,0
2018-03-23,9998.0498046875,10027.7001953125,9951.900390625,9968.7998046875,285700,31.829781127274245,10222.581637181376,-118.89120042998547,-0.011537625281148767,0.23947939262472895,6.471412591267613,1
2018-03-26,10130.650390625,10143.5,9958.5498046875,9989.150390625,262600,40.53439262006064,10210.324137640526,-115.77084325896612,0.013262645068574441,-0.08085404270213514,6.422553552381307,0
2018-03-27,10184.150390625,10207.900390625,10139.650390625,10188.0,225700,43.660205557135576,10206.834304705122,-107.73898686276698,0.005281003483202706,-0.14051789794364056,5.9172919824035,0
2018-03-28,10113.7001953125,10158.349609375,10096.900390625,10143.599609375,344400,40.63139596803897,10194.416423452773,-105.83838575833215,-0.006917631084606968,0.5259193619849358,5.474505148474643,1
2018-04-02,10211.7998046875,10220.099609375,10127.75,10151.650390625,225400,46.22552097611139,10196.734207617403,-95.31756550405225,0.009699675438319622,-0.3455284552845529,5.016737661628736,0
2018-04-03,10245.0,10255.349609375,10171.0498046875,10186.849609375,205300,48.01096059216385,10203.16964660175,-83.34006892087928,0.0032511600254110373,-0.08917480035492453,4.595824103961847,0
2018-04-04,10128.400390625,10279.849609375,10111.2998046875,10274.599609375,231100,42.6545324688266,10193.200412471517,-82.30763936658877,-0.011381123413860439,0.12566975158304916,4.490207034335263,1
2018-04-05,10325.150390625,10331.7998046875,10227.4501953125,10228.4501953125,236800,52.32093628015629,10210.793742891981,-64.86562032130132,0.019425574859986305,0.02466464733881435,4.585936193656026,0
2018-04-06,10331.599609375,10350.4501953125,10290.849609375,10322.75,200200,52.60296546775115,10226.901191756384,-49.946543843410836,0.0006246125727966678,-0.15456081081081086,4.6562968574398695,0
2018-04-09,10379.349609375,10397.7001953125,10328.5,10333.7001953125,221600,54.73774709362363,10247.227647438865,-33.87950051921143,0.004621743176794313,0.10689310689310694,4.84149277743182,0
